Sign Asset ID,Asset Location ID,MUTCD Code,Sign Message,Asset Name,Asset Size,Asset Category,Asset Sub Category,Direction Facing,Sign Mount,Asset Condition,Asset Status,QC Status,QC Type,Asset Installation Date,Asset Removal Date,Data Collection Date,Created Date,Modified Date,Latitude,Longitude,Location
"168,055","136,220",D3-1,GARDEN VIEW DR,Street Name,,Guide,Street Name,SE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 18 12:00:00 AM,2022 Sep 16 12:54:11 PM,2023 Mar 28 06:16:23 PM,30.287460593160223,-97.65958687912614,POINT (-97.659586879126 30.28746059316)
"767,814","777,146",R7-22,PAY TO PARK MOBILE APP ONLY PARK ATX ZONE 40017 MON-SAT: 8AM-12MID SUN: 1PM-12MID BOTH ARROWS,Pay To Park Zone 40017,15 x 21 in,SIGN_REGULATORY,Parking,W,1.0,1.0,1.0,QC Complete,Install,2023 Sep 24 05:14:00 AM,,,2023 Oct 24 07:50:12 PM,2024 Apr 09 01:46:23 PM,30.244335768544296,-97.75148534276802,POINT (-97.751485342768 30.244335768544)
"637,704","618,459",W14-2aR,NO OUTLET,Sign Post,,SIGN_WARNING,Cross Section,SE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 11 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 05 11:01:40 PM,30.237867559951354,-97.69615868534804,POINT (-97.696158685348 30.237867559951)
"550,477","271,307",D3-1,WEBBERVILLE RD,Street Name,,SIGN_GUIDE,Street Name,SE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 06 12:00:00 AM,2023 Jan 03 09:13:32 PM,2023 Mar 28 06:16:23 PM,30.26177368947115,-97.71657544804432,POINT (-97.716575448044 30.261773689471)
"627,062","614,410",R8-3,NO PARKING BOTH ARROWS,Sign Post,,SIGN_REGULATORY,Parking,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 10 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 05 11:01:40 PM,30.22151718001165,-97.70131249211016,POINT (-97.70131249211 30.221517180012)
"581,360","277,188",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Oct 30 12:00:00 AM,2023 Jan 04 02:16:29 PM,2023 Jan 05 04:05:41 PM,30.25029995762452,-97.72823977424264,POINT (-97.728239774243 30.250299957625)
"258,173","200,956",D3-1,W RUNDBERG LN,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 16 12:00:00 AM,2022 Oct 20 09:23:54 PM,2023 Mar 28 06:16:23 PM,30.36989992093064,-97.71146293175592,POINT (-97.711462931756 30.369899920931)
"743,484","705,116",D3-1,ETHRIDGE AVE,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 17 12:00:00 AM,2023 Oct 04 06:08:15 PM,2023 Oct 05 11:01:40 PM,30.29625152040581,-97.75704724232789,POINT (-97.757047242328 30.296251520406)
"665,738","621,922",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 13 12:00:00 AM,2023 Oct 04 01:54:28 PM,2023 Oct 04 01:54:28 PM,30.196471336153,-97.78612673229966,POINT (-97.7861267323 30.196471336153)
"629,975","615,483",D3-1,PORTMARNOCK CT,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 16 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 05 11:01:40 PM,30.135815572318,-97.78000933658834,POINT (-97.780009336588 30.135815572318)
"793,191","591,804",R2-5P,UNLESS OTHERWISE POSTED,Unless Otherwise Posted,,SIGN_REGULATORY,Speed Limit,N,1.0,1.0,1.0,QC Complete,,2023 Apr 12 06:03:00 PM,,,2024 Sep 10 12:56:33 PM,2024 Sep 10 12:56:33 PM,30.2221940052914,-97.86207291070956,POINT (-97.86207291071 30.222194005291)
"754,623","706,681",W16-9P,AHEAD,Sign Post,,SIGN_WARNING,Supplemental Plaque,NW,1.0,2.0,1.0,QC Complete,,,,2021 Apr 12 12:00:00 AM,2023 Oct 04 06:16:35 PM,2023 Oct 05 11:01:40 PM,30.277171447299946,-97.75983722419028,POINT (-97.75983722419 30.2771714473)
"229,207","194,732",R3-8,INTERSECTION LANE CONTROL,Sign Post,,SIGN_REGULATORY,Lane Control,SW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 13 12:00:00 AM,2022 Oct 20 09:06:25 PM,2023 Mar 28 03:51:51 PM,30.425825405032484,-97.71504648012552,POINT (-97.715046480126 30.425825405032)
"756,557","707,826",R7-21a,15 MIN AT ANY TIME CUSTOMER SERVICE ZONE,Sign Post,,SIGN_REGULATORY,Parking,W,1.0,2.0,1.0,QC Complete,,,,2021 Apr 12 12:00:00 AM,2023 Oct 04 06:16:35 PM,2023 Oct 05 11:01:40 PM,30.270212034206107,-97.75076126748291,POINT (-97.750761267483 30.270212034206)
"582,889","278,973",,,Sign Post,,SIGN_POLE,,,1.0,1.0,1.0,QC Complete,,2025 Feb 24 05:54:00 PM,,2021 Nov 02 12:00:00 AM,2023 Jan 04 02:16:29 PM,2025 Feb 28 07:50:41 PM,30.181258152753248,-97.7637814004898,POINT (-97.76378140049 30.181258152753)
"673,405","610,929",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 29 12:00:00 AM,2023 Oct 04 02:09:31 PM,2023 Oct 04 02:09:31 PM,30.202773353146423,-97.81488617767498,POINT (-97.814886177675 30.202773353146)
"571,830","279,943",D3-1,FAIRLANE DR,Street Name,,SIGN_GUIDE,Street Name,S,1.0,2.0,1.0,QC Complete,,,,2021 Nov 05 12:00:00 AM,2023 Jan 04 02:03:25 PM,2023 Mar 28 06:16:23 PM,30.338575933505243,-97.74891024944372,POINT (-97.748910249444 30.338575933505)
"713,424","695,619",D3-1,PERRY RD,Street Name,,SIGN_GUIDE,Street Name,SE,1.0,2.0,1.0,QC Complete,,,,2021 Jun 11 12:00:00 AM,2023 Oct 04 05:30:35 PM,2023 Oct 05 11:01:40 PM,30.2574743221912,-97.68620059104283,POINT (-97.686200591043 30.257474322191)
"686,242","609,651",R7-2,NO PARKING 12PM-12AM FRI-SUN EXCEPT WITH AREA RESIDENTIAL PERMIT LEFT ARROW,Sign Post,,SIGN_REGULATORY,Uncategorized,S,1.0,2.0,1.0,QC Complete,,,,2021 Nov 19 12:00:00 AM,2023 Oct 04 02:28:08 PM,2023 Dec 06 09:50:01 PM,30.257586478999063,-97.7646376609697,POINT (-97.76463766097 30.257586478999)
